id,submitted,A1_role,A2_age,A3_gender,A4_school,A5_origin,A6_courses,A7_hours,A8_access__none,A8_access__screenreader,A8_access__captions,A8_access__dyslexia,A8_access__motor,A8_access__contrast,A8_access__na,A9_tech,B1_freq,B2_devices__laptop,B2_devices__desktop,B2_devices__phone_browser,B2_devices__phone_app,B2_devices__tablet,B3_primary,B4_session,B5_features__announcements,B5_features__assignments,B5_features__grades,B5_features__modules,B5_features__calendar,B5_features__inbox,B5_features__discussions,B5_features__quizzes,B5_features__recordings,B5_features__groups,B5_features__syllabus,B5_features__none,B6_deadline__canvas_cal,B6_deadline__email,B6_deadline__push,B6_deadline__in_class,B6_deadline__peer,B6_deadline__syllabus,B6_deadline__own_cal,B6_deadline__late,B7_notif,B8_lost,B9_tools__paper,B9_tools__calendar,B9_tools__notes,B9_tools__chat,B9_tools__email,B9_tools__none,C1_find_fast,C2_find_slow,C3_notif_useful,C4_notif_noise,C5_mobile,C6_consistent,C7_uptodate,C8_confident,C9_accessible,C10_group,C11_satisfaction,C12_ease,D1_rank__materials,D1_rank__deadlines,D1_rank__grades,D1_rank__communication,D1_rank__recordings,D1_rank__groupwork,E1_frustrate,E2_helped,E3_more,PC1,PC2,Segment
R050,2026-09-11 00:07,msc,21-24,female,tshd,eu,5,9-16,1,0,0,0,0,0,0,7,daily,1,0,0,0,1,laptop,5-15,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,email,2-3,0,1,1,0,0,0,1,7,5,5,3,1,4,7,6,4,3,5,1,3,4,5,2,6,"A file was replaced by the lecturer, but the old version was still cached in the app. I studied the wrong version for a day.","Not much, it does the job",,1.172,2.19,S2 Structured Scholars
R051,2026-09-11 03:14,msc,21-24,male,tshd,nl,4,0,0,0,0,1,0,0,0,4,daily,1,0,0,1,0,phone,2-5,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,inapp,1,0,1,0,1,1,0,4,5,5,6,2,2,3,6,6,6,6,3,3,2,1,5,4,6,"Checking my grade for the Philosophy of Mind midterm: the number was there but the class average was hidden, so I couldn't tell if a 6.1 was good or bad.",Checking a grade in 5 seconds while waiting for coffee.,I basically live in WhatsApp groups for each course; that's where the real info is,-2.967,-0.543,S1 Deadline Sprinters
R052,2026-09-11 04:17,bsc,17-20,female,tshd,nl,4,0,1,0,0,0,0,0,0,5,several,1,0,0,1,0,phone,lt2,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,email,4-6,0,1,0,1,0,0,5,2,3,5,5,4,3,5,6,4,5,4,3,2,1,4,5,6,Deadline was at 23:59 but the app showed a different time after I came back from holiday. I panicked and submitted at 22:00 just to be safe,Nothing specific.,,-2.946,-1.054,S1 Deadline Sprinters
R053,2026-09-11 06:26,staff,30-39,female,tsb,nl,2,9-16,1,0,0,0,0,0,0,3,2-3,1,1,0,0,0,desktop,5-15,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,email,2-3,1,0,0,0,1,0,4,4,2,7,5,2,4,2,4,2,3,2,1,3,4,2,5,6,"Students come to the desk asking where a grade is and I can't see what they see, so I ask them to turn their laptop around.","Masquerading as a student to see exactly what they see, when we are allowed to.",,2.585,-2.523,S5 Reluctant Instructors
R054,2026-09-11 10:08,msc,17-20,male,tsb,na,3,0,1,0,0,0,0,0,0,5,daily,1,1,0,1,0,phone,lt2,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,push,2-3,0,0,0,1,1,0,6,3,6,6,2,3,4,6,6,3,5,5,3,2,1,5,4,6,"i get like 12 emails a day from Canvas. I stopped reading them, and then I missed a change in the deadline for Philosophy of Mind",The To-do list saved me once: I had forgotten about a quiz and it was there.,One overview of all deadlines for all courses please.,-3.935,-0.182,S1 Deadline Sprinters
R055,2026-09-11 12:37,lecturer,40-49,male,tshd,nl,2,0,1,0,0,0,0,0,0,4,lt1,0,1,0,0,0,desktop,5-15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,email,2-3,0,1,0,0,1,0,3,5,1,5,5,3,3,1,4,2,2,1,1,4,2,3,6,5,The system asked me to set up two-factor authentication on a new phone in the middle of a lecture.,Students could see the slides right after the lecture without me emailing them.,,3.553,-2.172,S5 Reluctant Instructors
R056,2026-09-11 13:28,lecturer,30-39,female,tshd,nl,3,0,0,0,1,0,0,0,0,5,several,1,0,0,0,0,desktop,gt30,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,email,1,0,0,0,0,1,0,4,3,3,7,5,5,6,6,5,3,2,4,2,4,1,3,5,6,"students emailed me at 23:50 because the upload failed. I could not see any error on my side, the submission just wasn't there.",Seeing at a glance who has not submitted and messaging them in one go,No.,-0.282,1.574,S4 Power Instructors
R057,2026-09-11 15:19,phd,21-24,female,tisem,eu,2,1-8,1,0,0,0,0,0,0,7,4-6,1,0,0,0,0,tablet,5-15,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,email,2-3,1,1,1,1,0,0,2,6,4,6,4,5,5,7,6,3,2,4,2,3,4,5,1,6,"Wanted to compare my rubric score with the criteria. They open in a side panel that cuts off the text, and the comments were in yet another tab.",Recordings with the slide timeline let me jump to the part I needed.,,1.182,1.342,S2 Structured Scholars
R058,2026-09-11 15:31,bsc,25-29,female,tisem,nl,6+,25+,1,0,0,0,0,0,0,5,daily,1,0,0,0,0,phone,2-5,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,email,4-6,0,1,0,0,1,0,4,4,4,7,4,2,4,4,5,2,3,4,3,1,4,5,2,6,"Wanted to watch the recording of a lecture I missed because of work. It was uploaded four days later, with no notification.",An extension request through the assignment page; the teacher approved it within an hour.,,-0.339,-2.286,S3 Overloaded Jugglers
R059,2026-09-11 16:14,msc,30-39,female,tshd,nl,2,17-24,1,0,0,0,0,0,0,2,4-6,1,0,1,0,0,laptop,5-15,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,email,1,0,1,1,1,1,0,3,6,4,5,3,3,3,5,6,3,3,2,3,1,5,4,2,6,"Slow to load on the campus wifi, especially the Files page.",The lecturer of Consumer Behaviour posted a weekly 'what to do this week' announcement. In that course I never fell behind.,,1.342,-2.389,S3 Overloaded Jugglers
R060,2026-09-11 16:21,ta,40-49,male,tsb,nl,2,1-8,1,0,0,0,0,0,0,4,daily,1,0,0,0,0,laptop,15-30,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,email,2-3,0,1,0,0,1,0,4,2,2,6,3,2,4,7,6,4,3,4,2,3,1,6,5,4,"Re-using a rubric across two courses: you can, but the rubric gets duplicated and any fix must be repeated.",Nothing specific.,,-0.791,1.223,S4 Power Instructors
R061,2026-09-11 17:21,msc,40-49,female,tshd,nl,3,25+,1,0,0,0,0,0,0,4,1,0,0,1,1,0,laptop,5-15,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,email,2-3,0,0,0,0,1,0,4,5,4,5,3,5,4,3,5,4,3,4,3,1,5,4,2,6,"Wanted to watch the recording of a lecture I missed because of work. It was uploaded four days later, with no notification.",Recordings. Without them I could not follow the course while working.,I have two kids. I need to know in one minute whether anything changed.,1.117,-2.575,S3 Overloaded Jugglers
R062,2026-09-11 17:53,msc,30-39,male,tls,nl,3,25+,1,0,0,0,0,0,0,5,2-3,1,1,1,0,0,laptop,2-5,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,email,1,0,0,0,1,1,0,3,7,3,5,5,3,4,5,4,3,5,2,4,2,3,6,1,5,"Emails from Canvas all look the same, 'New announcement in course X'. The important one about exam registration got lost between reminders.",The lecturer of Text Mining posted a weekly 'what to do this week' announcement. In that course I never fell behind.,,1.107,-1.342,S3 Overloaded Jugglers
R063,2026-09-11 21:03,msc,25-29,female,tshd,eu,2,1-8,1,0,0,0,0,0,0,7,4-6,1,0,0,0,0,laptop,gt30,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,email,2-3,0,0,1,1,0,0,3,5,6,4,3,3,5,6,7,4,3,4,1,3,4,5,2,6,"Search in Canvas only searches the current course, and only some things. I wanted a formula from a slide two weeks ago and ended up opening every PDF.","The calendar feed into Google Calendar, once the lecturer actually dated everything.",,0.875,2.553,S2 Structured Scholars
R064,2026-09-11 21:17,lecturer,40-49,male,tshd,noneu,1,0,1,0,0,0,0,0,0,5,2-3,1,0,0,0,0,laptop,15-30,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,dontknow,1,1,0,0,0,1,0,1,6,4,5,4,3,3,3,7,2,2,3,1,3,4,2,5,6,I tried to see who was in my tutorial group. The People page listed 300 students from all sections and I could not filter them.,The TA set everything up and I only had to click publish.,,2.466,-0.466,S5 Reluctant Instructors
R065,2026-09-11 21:45,staff,50+,male,tsb,nl,5,0,1,0,0,0,0,0,0,5,several,1,1,0,0,0,laptop,gt30,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,email,1,1,1,0,1,1,0,3,5,4,4,2,2,5,6,5,3,5,4,2,4,1,3,6,5,Checking whether a student really submitted before the deadline: the submission log is hard to read and the time zone is ambiguous.,"Masquerading as a student to see exactly what they see, when we are allowed to",,-0.7,2.569,S4 Power Instructors
R066,2026-09-12 00:37,msc,21-24,nonbinary,tshd,nl,3,1-8,0,0,0,0,0,1,0,4,daily,1,0,0,1,0,laptop,5-15,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,push,1,1,1,0,1,0,0,4,4,6,4,2,2,4,7,4,5,4,4,3,2,1,4,5,6,grades for Machine Learning came in for everyone else but mine said 'submitted' for two days. Turned out I had uploaded the wrong file and nobody told me.,The announcement about the room change came right before the lecture; I would have gone to the wrong building.,,-1.747,0.497,S1 Deadline Sprinters
R067,2026-09-12 01:18,lecturer,25-29,male,tshd,nl,3,0,1,0,0,0,0,0,0,6,several,1,1,0,1,1,desktop,15-30,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,email,1,0,1,0,0,1,0,3,5,4,4,3,5,6,6,5,3,4,2,2,4,1,3,6,5,"setting up the the thesis circle course for the new year: copying the course from last year carried over old due dates that I had to fix one by one, 22 assignments.","Copying a course from last year, even with the date problem, beats starting from scratch.",,-0.616,2.101,S4 Power Instructors
R068,2026-09-12 05:26,bsc,21-24,female,tshd,nl,3,17-24,1,0,0,0,0,0,0,5,2-3,0,0,1,0,0,laptop,5-15,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,email,0,1,1,0,1,0,0,5,4,2,6,4,3,4,4,4,5,4,3,3,1,4,5,2,6,Can't find where the lecturer said what is graded and what is optional. It was mentioned in the lecture I missed.,,,0.506,-1.65,S3 Overloaded Jugglers
R069,2026-09-12 11:09,phd,21-24,male,tshd,eu,2,1-8,1,0,0,0,0,0,0,6,daily,1,0,0,0,1,laptop,gt30,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,email,2-3,0,1,0,1,0,0,3,4,3,4,4,2,4,6,6,4,4,4,1,3,4,5,2,6,"the recordings for Intro to Economics are in a separate tool that opens in a new tab, and the link is buried in a module item with no thumbnail. I bookmark it because I can never find it twice.","The Modules page for Machine Learning was set up week by week with readings, slides and the recording in one place. That is how every course should look.",,1.321,2.133,S2 Structured Scholars
R070,2026-09-12 11:22,msc,21-24,female,tshd,eu,2,25+,1,0,0,0,0,0,0,6,4-6,1,0,1,0,0,laptop,5-15,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,email,2-3,0,1,0,1,0,0,6,1,4,7,3,1,4,5,4,2,4,3,3,1,5,6,2,4,Notification emails arrive during my working hours and are gone from my head by the evening. I have missed two small deadlines that way.,"The e-mail digest once a day instead of every announcement, once I found the setting.",Recordings uploaded the same day.,-0.324,-0.967,S3 Overloaded Jugglers
R071,2026-09-12 12:13,bsc,21-24,female,other,nl,3,0,1,0,0,0,0,0,0,3,4-6,1,0,0,1,0,desktop,5-15,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,push,1,1,1,1,1,0,0,1,7,5,2,6,3,5,7,5,4,4,4,1,5,3,6,2,4,"a file was replaced by the lecturer, but the old version was still cached in the app. I studied the wrong version for a day.",,Let me search across all courses and inside PDFs.,2.123,2.973,S2 Structured Scholars
R072,2026-09-12 14:21,msc,21-24,male,tisem,noneu,3,9-16,1,0,0,0,0,0,0,7,4-6,1,0,0,0,0,laptop,15-30,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,push,2-3,1,1,0,0,0,0,4,3,4,5,4,1,5,7,6,5,5,4,2,3,4,6,1,5,"For Human-Computer Interaction the lecturer uploaded v1, v2 and v2_final of the slides in the same folder. No way to tell which one is current without opening all three.",Having every submission I ever made in one place when I wrote my thesis.,,0.077,2.397,S2 Structured Scholars
R073,2026-09-12 14:40,bsc,25-29,male,tisem,eu,4,17-24,1,0,0,0,0,0,0,3,2-3,1,0,1,0,0,laptop,2-5,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,email,2-3,0,1,0,1,0,0,3,7,3,6,4,2,4,3,3,4,3,4,3,1,4,5,2,6,Deadlines at 23:59 on weekdays are hard when you work evenings. I found out about the Research Methods quiz window on the day it closed.,An extension request through the assignment page; the teacher approved it within an hour.,,2.068,-2.6,S3 Overloaded Jugglers
R074,2026-09-12 16:11,ta,40-49,female,tisem,eu,2,9-16,1,0,0,0,0,0,0,3,lt1,0,1,0,0,0,desktop,5-15,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,email,2-3,1,1,0,1,1,0,4,5,2,7,3,4,4,2,3,3,3,2,1,2,4,3,5,6,I wanted to reply to a student's comment on a submission and could not find where to type. Ended up emailing them.,"Announcements reach everybody at once, unlike my email list which is always outdated.",I rely on my TA for everything in Canvas.,2.557,-3.302,S5 Reluctant Instructors
R075,2026-09-12 16:34,msc,21-24,male,tshd,nl,3,17-24,0,0,0,1,0,1,0,6,4-6,1,0,0,0,0,laptop,gt30,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,email,7+,1,1,1,0,0,0,1,7,4,5,2,2,6,2,3,3,1,2,1,4,3,5,2,6,Videos with no transcript and no captions in Corporate Finance; the lecture was the only place where the exam format was explained.,the extra time setting worked for the exam quiz once the lecturer set it.,ask disabled students before you design; we are not an edge case.,4.201,0.395,S6 Access-First Learners
R076,2026-09-12 16:46,bsc,17-20,female,tshd,eu,4,9-16,1,0,0,0,0,0,0,5,several,0,0,1,0,0,phone,2-5,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,push,0,0,1,0,1,0,0,3,7,4,7,2,4,3,6,4,3,5,4,3,2,1,4,5,6,Grades for Qualitative Methods came in for everyone else but mine said 'submitted' for two days. Turned out I had uploaded the wrong file and nobody told me.,,,-2.51,-1.008,S1 Deadline Sprinters
R077,2026-09-12 17:14,bsc,21-24,nonbinary,tls,noneu,6+,17-24,0,0,0,1,0,0,0,6,several,1,0,1,0,0,phone,lt2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,push,0,0,1,0,1,0,0,5,4,4,5,2,5,2,6,5,3,4,4,3,1,2,4,5,6,Wanted to check if my Consumer Behaviour grade was in during the break. The app showed the assignment as 'graded' but the number only appeared after I logged in on my laptop that evening.,Reminders for deadlines.,Just make everything work on the phone.,-3.472,-1.647,S1 Deadline Sprinters
R078,2026-09-12 17:24,bsc,17-20,male,tisem,nl,5,1-8,1,0,0,0,0,0,0,4,several,1,0,0,1,0,phone,2-5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,push,4-6,0,0,1,1,0,0,4,3,5,5,2,2,2,6,6,4,5,2,2,1,3,4,5,6,The app logged me out again and the 2FA code took forever. By the time I was in I forgot what I wanted to check.,When the teacher replied to my comment on my submission I saw it immediately in the app.,,-2.132,-1.576,S1 Deadline Sprinters
R079,2026-09-12 18:07,ta,40-49,female,tisem,eu,1,0,1,0,0,0,0,0,0,4,daily,1,0,1,0,0,laptop,gt30,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,off,2-3,0,0,0,1,1,0,5,3,3,7,3,4,4,7,5,1,7,3,1,4,2,3,5,6,An announcement I scheduled for Monday 08:00 went out Sunday evening because the time zone reverted. Students thought there was a change of plan.,,,-0.813,1.191,S4 Power Instructors
R080,2026-09-12 20:44,bsc,21-24,female,tls,nl,4,1-8,1,0,0,0,0,0,0,7,several,1,0,0,1,0,phone,2-5,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,email,2-3,0,1,0,1,1,0,6,3,5,4,1,2,5,4,5,6,4,2,3,1,2,4,6,5,"Wanted to see if the Deep Learning quiz was still open. Had to open the course, then Quizzes, then scroll. On the phone it kept reloading.",,Let me see the class average next to my grade.,-3.175,-0.461,S1 Deadline Sprinters
R081,2026-09-12 21:23,bsc,30-39,male,tshd,nl,4,25+,1,0,0,0,0,0,0,4,1,1,0,1,1,0,phone,15-30,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,email,2-3,0,1,1,1,1,0,3,5,4,4,3,3,5,4,5,4,3,3,3,2,5,6,1,4,i can only study on Sunday. I opened Canvas and had 10 unread announcements from 4 courses. No way to see which ones actually require me to do something.,,,1.349,-1.235,S3 Overloaded Jugglers
R082,2026-09-12 21:52,bsc,21-24,female,tisem,eu,4,0,0,1,0,0,0,0,0,5,4-6,1,0,0,1,0,laptop,gt30,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,email,2-3,0,1,1,1,1,0,3,5,3,4,4,4,5,3,4,4,2,3,1,2,4,5,3,6,Lecture recordings for Research Methods have auto-captions that turn 'Bayesian' into 'basin'. I stopped watching them and asked for the slides instead.,,,2.696,0.378,S6 Access-First Learners
R083,2026-09-12 22:25,msc,25-29,male,tshd,noneu,2,0,1,0,0,0,0,0,0,6,daily,1,0,0,0,0,laptop,15-30,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,email,4-6,0,1,1,1,0,0,4,5,6,4,4,3,6,7,5,3,5,5,1,3,4,5,2,6,"Modules is one long scroll. There is no overview of the course structure, no 'you are here' and no way to collapse everything with one click.",Downloading all files of a module in one zip.,,0.299,3.015,S2 Structured Scholars
R084,2026-09-12 22:53,bsc,21-24,female,tshd,eu,4,9-16,1,0,0,0,0,0,0,4,several,1,0,0,1,0,phone,2-5,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,inapp,4-6,0,1,0,1,0,0,4,4,5,7,3,4,4,5,6,4,4,4,5,1,2,3,4,6,I wanted to quickly check if the lecture was cancelled. Had to go dashboard > course > announcements > scroll. Three taps too many when you are on the bus.,The To-do list saved me once: I had forgotten about a quiz and it was there.,,-3.027,-2.417,S1 Deadline Sprinters
R085,2026-09-12 23:12,bsc,17-20,male,tshd,eu,4,1-8,0,1,0,0,0,0,0,5,4-6,1,0,0,0,0,laptop,gt30,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,email,4-6,0,0,1,0,1,0,3,6,3,6,2,4,3,3,3,3,1,3,1,3,4,6,2,5,Keyboard navigation in the calendar traps you in the month grid; I couldn't get to the assignment link.,"Transcripts of the Marketing Analytics recordings were edited by the TA, so I could actually search them.",,3.133,-0.27,S6 Access-First Learners
R086,2026-09-13 00:02,bsc,21-24,female,tisem,nl,4,1-8,1,0,0,0,0,0,0,5,several,0,0,0,1,0,laptop,2-5,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,inapp,2-3,0,1,0,0,0,0,4,4,5,4,2,4,4,6,6,4,5,5,2,1,3,4,5,6,"Got a push notification at 23:40 about a new announcement, opened it and it was a reminder that the lecture room changed... for a lecture that was already over",seeing the exact time left before a deadline on the assignment page.,,-2.082,0.465,S1 Deadline Sprinters
R087,2026-09-13 02:05,bsc,21-24,male,tsb,nl,5,25+,1,0,0,0,0,0,0,5,daily,1,0,0,0,0,laptop,15-30,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,email,4-6,1,0,0,1,1,0,4,5,3,6,4,3,4,4,5,4,3,5,3,1,4,6,2,5,I wanted to see my total workload for the block. Nothing in Canvas shows that; I ended up building a spreadsheet.,Recordings. Without them I could not follow the course while working.,I work 24 hours a week; my study time is Sunday and Wednesday evening. Anything that makes catching up faster helps.,0.655,-0.755,S3 Overloaded Jugglers
R088,2026-09-13 03:52,msc,21-24,male,tshd,nl,2,1-8,0,0,0,0,0,1,0,5,daily,1,0,0,1,0,laptop,15-30,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,email,2-3,0,1,1,0,0,0,5,2,5,5,4,4,6,5,4,2,3,4,1,4,3,5,2,6,"Wanted to compare my rubric score with the criteria. They open in a side panel that cuts off the text, and the comments were in yet another tab.","The calendar feed into Google Calendar, once the lecturer actually dated everything.",,0.609,1.76,S2 Structured Scholars
R089,2026-09-13 04:07,lecturer,25-29,female,tsb,nl,2,9-16,1,0,0,0,0,0,0,6,several,0,1,0,0,0,desktop,gt30,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,email,2-3,1,1,0,0,1,0,5,3,5,4,3,3,6,6,7,6,4,3,2,4,1,3,6,5,"Students in Deep Learning kept asking where the slides were. They were in Modules, published, but the course navigation still showed Files first.",,,-1.796,2.394,S4 Power Instructors
R090,2026-09-13 05:58,phd,21-24,female,tshd,eu,1,0,1,0,0,0,0,0,0,7,4-6,1,0,0,0,0,desktop,15-30,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,inapp,0,0,1,1,0,0,0,4,3,4,5,3,3,4,7,5,4,4,3,1,3,5,4,2,6,"group project files were spread across Canvas groups, Google Drive and WhatsApp. Canvas Collaborations didn't work with our university accounts.","the Modules page for Human-Computer Interaction was set up week by week with readings, slides and the recording in one place. That is how every course should look",Please make lecturers date their assignments.,0.469,1.897,S2 Structured Scholars
R091,2026-09-13 06:18,msc,25-29,male,other,nl,2,1-8,0,1,0,0,0,0,0,6,daily,1,0,0,1,0,tablet,gt30,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,email,7+,0,1,0,0,0,0,1,6,4,4,4,1,4,5,2,3,2,2,1,3,4,5,2,6,"Long announcements are one wall of text with no headings, hard for me to parse. I copy them into a reader app first",The immersive reader in my browser works fine on Canvas pages when they are real text.,"Let me set my own font size and contrast once, for all courses.",3.979,0.971,S6 Access-First Learners
R092,2026-09-13 07:06,ta,40-49,female,tshd,noneu,2,9-16,1,0,0,0,0,0,0,6,several,1,0,0,0,0,laptop,15-30,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,email,4-6,1,0,0,0,1,0,4,4,5,4,3,5,5,5,4,3,2,4,2,5,1,3,6,4,The dashboard shows courses from last year first.,,Good luck with the project!,-0.452,1.669,S4 Power Instructors
R093,2026-09-13 07:44,msc,25-29,male,tshd,noneu,3,17-24,1,0,0,0,0,0,0,4,2-3,1,0,0,0,0,laptop,15-30,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,push,1,0,1,0,1,1,0,4,5,3,6,3,4,3,4,5,4,3,2,2,1,4,5,3,6,"Every course sends the same info in a different way. I have a paper list of what to check where, and it still fails.",Being able to submit from my phone during a break.,,1.261,-2.083,S3 Overloaded Jugglers
R094,2026-09-13 07:48,lecturer,30-39,na,tls,noneu,3,1-8,1,0,0,0,0,0,0,3,2-3,0,0,1,0,0,desktop,2-5,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,off,1,1,1,1,0,1,0,4,3,2,5,3,3,5,1,5,3,3,1,1,2,4,3,6,5,I wanted to upload the slides after the lecture. It asked whether to put them in Files or Modules or Pages. I still don't know the difference; the TA fixed it later.,Students could see the slides right after the lecture without me emailing them.,,1.623,-2.327,S5 Reluctant Instructors
R095,2026-09-13 09:21,phd,25-29,female,tshd,eu,1,0,1,0,0,0,0,0,0,6,daily,1,0,1,1,0,laptop,5-15,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,email,2-3,0,1,1,0,1,0,3,7,3,6,2,3,4,6,4,3,5,3,1,3,4,6,2,5,"The recordings for Developmental Psychology are in a separate tool that opens in a new tab, and the link is buried in a module item with no thumbnail. I bookmark it because I can never find it twice.",A rubric with comments per criterion made the feedback actually useful.,,1.068,1.494,S2 Structured Scholars
R096,2026-09-13 09:59,msc,21-24,female,tsb,nl,2,1-8,1,0,0,0,0,0,0,6,daily,1,0,1,1,0,laptop,15-30,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,inapp,1,0,1,1,1,1,0,3,4,4,4,3,1,4,6,6,2,5,5,2,3,4,6,1,5,"For Intro to Economics the lecturer uploaded v1, v2 and v2_final of the slides in the same folder. No way to tell which one is current without opening all three.",,,0.428,2.539,S2 Structured Scholars
R097,2026-09-13 10:59,lecturer,50+,female,tsb,nl,3,1-8,0,0,0,0,0,1,0,2,2-3,0,1,0,0,0,laptop,5-15,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,email,2-3,0,1,0,0,1,0,4,3,3,5,4,1,4,3,4,4,3,1,1,3,4,2,5,6,Every year the interface has changed a little and the button I remember is somewhere else.,"Announcements reach everybody at once, unlike my email list which is always outdated.",,2.334,-2.059,S5 Reluctant Instructors
R098,2026-09-13 12:16,msc,30-39,female,tsb,eu,3,1-8,1,0,0,0,0,0,0,6,several,0,1,0,0,0,laptop,5-15,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,email,1,1,1,0,1,0,0,4,3,4,7,3,1,7,4,7,3,3,3,1,3,4,5,2,6,"Annotating a PDF in the built-in viewer is impossible, and downloading each one separately to Zotero takes forever.",A discussion where the lecturer pinned the answers to common questions before the exam.,,0.396,1.701,S2 Structured Scholars
R099,2026-09-13 16:10,bsc,21-24,female,tshd,nl,4,0,0,0,0,1,0,0,0,6,daily,1,0,1,1,0,laptop,15-30,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,email,2-3,0,0,1,1,1,0,4,4,5,6,3,3,6,4,3,5,4,3,2,3,4,5,1,6,a timed quiz did not give me my extra time even though it was arranged; the setting is per quiz and the lecturer forgot.,being able to download the PDF and open it in my own reader instead of the built-in viewer.,,0.869,1.268,S2 Structured Scholars
R100,2026-09-13 16:50,msc,21-24,nonbinary,tshd,eu,3,25+,1,0,0,0,0,0,0,4,2-3,1,0,1,0,0,laptop,15-30,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,email,4-6,0,0,0,1,1,0,3,4,6,5,4,3,4,5,6,4,3,3,3,1,4,5,2,6,Between work shifts I checked my email and saw a Canvas mail from Monday saying the Qualitative Methods deadline was moved earlier. I had already planned my weekend around the old date,,,0.86,-1.467,S3 Overloaded Jugglers
R101,2026-09-13 16:56,bsc,21-24,male,tisem,nl,5,17-24,1,0,0,0,0,0,0,4,several,1,0,0,1,0,laptop,2-5,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,email,4-6,0,0,0,1,0,0,4,4,6,5,4,3,4,4,3,4,5,3,3,1,2,4,6,5,"could not find the exam location; it was in an announcement, not in the calendar.",,Dark mode,-1.317,-1.552,S1 Deadline Sprinters
